task_id,workflow_id,node_id,node_class,seed,tier,memory_strategy,condition,workflow_depth,workflow_category,base_input_tokens,memory_tokens_injected,output_tokens,cost_inference,cost_injection,cost_miss_penalty,cost_accum,cost_total,warm_hit,fallback_used,retrieval_latency_ms,answer_correct,required_topics_recall,cache_read_tokens,cache_creation_tokens,end_to_end_ms,model_id
T001,T001-A-99-16638d,extract,extract,99,sonnet,full-history,A,1,Billing,67,0,94,0.001611,0.0,0.0,0.0,0.001611,False,False,0.7268330082297325,True,1.0,0,0,2798.6047910089837,claude-sonnet-4-6
T001,T001-A-99-16638d,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,226,103,107,0.0022830000000000003,0.00030900000000000003,0.0,0.0,0.0025920000000000006,False,False,0.3902500029653311,False,1.0,0,0,1866.3570830103708,claude-sonnet-4-6
T002,T002-A-99-073079,extract,extract,99,sonnet,full-history,A,1,Billing,67,0,181,0.002916,0.0,0.0,0.0,0.002916,False,False,0.3574169968487695,True,1.0,0,0,4879.516834000242,claude-sonnet-4-6
T002,T002-A-99-073079,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,219,149,83,0.001902,0.000447,0.0,0.0,0.002349,False,False,0.2629590017022565,False,1.0,0,0,1663.1775429996196,claude-sonnet-4-6
T003,T003-A-99-0a58c4,extract,extract,99,sonnet,full-history,A,1,Billing,67,0,131,0.0021660000000000004,0.0,0.0,0.0,0.0021660000000000004,False,False,0.633457995718345,True,0.6666666666666666,0,0,3524.3181669939077,claude-sonnet-4-6
T003,T003-A-99-0a58c4,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,231,140,105,0.002268,0.00042,0.0,0.0,0.0026880000000000003,False,False,0.26625000464264303,True,1.0,0,0,2349.7127500158967,claude-sonnet-4-6
T004,T004-A-99-02e3f1,extract,extract,99,sonnet,full-history,A,1,Billing,68,0,107,0.001809,0.0,0.0,0.0,0.001809,False,False,0.3307919978396967,True,1.0,0,0,2909.9449589994038,claude-sonnet-4-6
T004,T004-A-99-02e3f1,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,220,116,79,0.001845,0.000348,0.0,0.0,0.002193,False,False,0.27137500001117587,True,0.6666666666666666,0,0,1642.1899999986636,claude-sonnet-4-6
T005,T005-A-99-18fae2,extract,extract,99,sonnet,full-history,A,1,Billing,69,0,165,0.0026820000000000004,0.0,0.0,0.0,0.0026820000000000004,False,False,0.25966700923163444,True,1.0,0,0,4451.800625000033,claude-sonnet-4-6
T005,T005-A-99-18fae2,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,236,170,182,0.003438,0.00051,0.0,0.0,0.003948,False,False,0.34716600202955306,False,1.0,0,0,2545.065666010487,claude-sonnet-4-6
T006,T006-A-99-6839be,extract,extract,99,sonnet,full-history,A,1,Billing,67,0,126,0.002091,0.0,0.0,0.0,0.002091,False,False,0.2405419945716858,True,1.0,0,0,3182.070291994023,claude-sonnet-4-6
T006,T006-A-99-6839be,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,221,135,84,0.0019230000000000002,0.00040500000000000003,0.0,0.0,0.002328,False,False,0.41204200533684343,False,1.0,0,0,1661.2312920042314,claude-sonnet-4-6
T007,T007-A-99-f974f6,extract,extract,99,sonnet,full-history,A,1,Billing,70,0,169,0.002745,0.0,0.0,0.0,0.002745,False,False,0.2691670088097453,True,1.0,0,0,3685.5810010019923,claude-sonnet-4-6
T007,T007-A-99-f974f6,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,230,177,85,0.001965,0.000531,0.0,0.0,0.002496,False,False,0.27545799093786627,True,0.6666666666666666,0,0,1722.049790987512,claude-sonnet-4-6
T008,T008-A-99-20a12f,extract,extract,99,sonnet,full-history,A,1,Billing,64,0,206,0.0032819999999999998,0.0,0.0,0.0,0.0032819999999999998,False,False,0.5322090000845492,True,0.6666666666666666,0,0,4905.859209000482,claude-sonnet-4-6
T008,T008-A-99-20a12f,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,218,156,95,0.002079,0.000468,0.0,0.0,0.0025470000000000002,False,False,0.7077089976519346,False,0.6666666666666666,0,0,2092.0095009932993,claude-sonnet-4-6
T009,T009-A-99-70bc73,extract,extract,99,sonnet,full-history,A,1,Billing,74,0,161,0.002637,0.0,0.0,0.0,0.002637,False,False,0.3549590037437156,True,0.75,0,0,4073.5163759964053,claude-sonnet-4-6
T009,T009-A-99-70bc73,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,239,165,206,0.0038069999999999996,0.000495,0.0,0.0,0.004301999999999999,False,False,0.2477919915691018,True,0.75,0,0,2900.267791992519,claude-sonnet-4-6
T009,T009-A-99-70bc73,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,518,377,300,0.006054,0.001131,0.0,0.0,0.007185,False,False,0.291375006781891,True,0.75,0,0,5314.0525839990005,claude-sonnet-4-6
T010,T010-A-99-c3480f,extract,extract,99,sonnet,full-history,A,1,Billing,65,0,152,0.0024749999999999998,0.0,0.0,0.0,0.0024749999999999998,False,False,0.3591249987948686,True,1.0,0,0,4503.554499999154,claude-sonnet-4-6
T010,T010-A-99-c3480f,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,216,143,140,0.002748,0.000429,0.0,0.0,0.003177,False,False,0.5189169896766543,True,1.0,0,0,2479.498999993666,claude-sonnet-4-6
T010,T010-A-99-c3480f,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,493,289,300,0.005979000000000001,0.000867,0.0,0.0,0.0068460000000000005,False,False,0.2625420020194724,True,0.75,0,0,6063.391417003004,claude-sonnet-4-6
T011,T011-A-99-e5d9ca,extract,extract,99,sonnet,full-history,A,1,Billing,69,0,181,0.002922,0.0,0.0,0.0,0.002922,False,False,0.2617920108605176,True,0.75,0,0,6522.8112090117065,claude-sonnet-4-6
T011,T011-A-99-e5d9ca,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,225,151,146,0.0028650000000000004,0.000453,0.0,0.0,0.003318,False,False,0.29470799199771136,True,0.5,0,0,2446.4679159864318,claude-sonnet-4-6
T011,T011-A-99-e5d9ca,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,502,303,300,0.006006000000000001,0.000909,0.0,0.0,0.006915000000000001,False,False,0.3604579978855327,False,0.5,0,0,5527.498750001541,claude-sonnet-4-6
T012,T012-A-99-0cef7e,extract,extract,99,sonnet,full-history,A,1,Billing,69,0,209,0.0033420000000000004,0.0,0.0,0.0,0.0033420000000000004,False,False,0.6881669978611171,True,1.0,0,0,5427.301500996691,claude-sonnet-4-6
T012,T012-A-99-0cef7e,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,219,141,225,0.004032,0.00042300000000000004,0.0,0.0,0.004455,False,False,0.4801660106750205,True,0.75,0,0,4083.796875012922,claude-sonnet-4-6
T012,T012-A-99-0cef7e,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,492,308,300,0.005976,0.000924,0.0,0.0,0.006900000000000001,False,False,1.0148750006919727,False,0.25,0,0,4884.017915988807,claude-sonnet-4-6
T013,T013-A-99-c430b6,extract,extract,99,sonnet,full-history,A,1,Billing,66,0,189,0.003033,0.0,0.0,0.0,0.003033,False,False,0.2558330015745014,True,1.0,0,0,4991.168499997002,claude-sonnet-4-6
T013,T013-A-99-c430b6,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,218,153,105,0.002229,0.000459,0.0,0.0,0.0026880000000000003,False,False,0.39258300967048854,True,0.6666666666666666,0,0,2672.889750014292,claude-sonnet-4-6
T013,T013-A-99-c430b6,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,492,264,300,0.005976,0.0007920000000000001,0.0,0.0,0.006768000000000001,False,False,0.26212500233668834,False,0.3333333333333333,0,0,5697.457583009964,claude-sonnet-4-6
T014,T014-A-99-282c7b,extract,extract,99,sonnet,full-history,A,1,Billing,65,0,211,0.00336,0.0,0.0,0.0,0.00336,False,False,0.25262500275857747,True,1.0,0,0,5225.337084004423,claude-sonnet-4-6
T014,T014-A-99-282c7b,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,222,159,232,0.004146,0.000477,0.0,0.0,0.004623,False,False,0.32995799847412854,True,1.0,0,0,3804.075373991509,claude-sonnet-4-6
T014,T014-A-99-282c7b,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,507,358,300,0.006021,0.001074,0.0,0.0,0.007095000000000001,False,False,0.3002919984282926,False,0.5,0,0,6656.140958992182,claude-sonnet-4-6
T015,T015-A-99-6e2118,extract,extract,99,sonnet,full-history,A,1,Billing,68,0,274,0.004314,0.0,0.0,0.0,0.004314,False,False,0.28900000324938446,True,0.75,0,0,6384.176999999909,claude-sonnet-4-6
T015,T015-A-99-6e2118,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,226,154,181,0.003393,0.000462,0.0,0.0,0.0038550000000000004,False,False,0.30854200304020196,False,0.75,0,0,2648.912375996588,claude-sonnet-4-6
T015,T015-A-99-6e2118,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,505,341,300,0.006015,0.001023,0.0,0.0,0.007038000000000001,False,False,0.3294589987490326,False,0.25,0,0,5111.013708985411,claude-sonnet-4-6
T016,T016-A-99-cb144e,extract,extract,99,sonnet,full-history,A,1,Billing,65,0,277,0.00435,0.0,0.0,0.0,0.00435,False,False,0.3290409949840978,True,1.0,0,0,6997.176207994926,claude-sonnet-4-6
T016,T016-A-99-cb144e,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,216,159,196,0.003588,0.000477,0.0,0.0,0.004065,False,False,0.26091600011568516,True,1.0,0,0,3091.9302069960395,claude-sonnet-4-6
T016,T016-A-99-cb144e,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,492,361,300,0.005976,0.001083,0.0,0.0,0.007059,False,False,0.27183299243915826,False,0.0,0,0,5278.559041995322,claude-sonnet-4-6
T017,T017-A-99-1f4335,extract,extract,99,sonnet,full-history,A,1,Billing,76,0,285,0.004503,0.0,0.0,0.0,0.004503,False,False,0.7064999954309314,True,1.0,0,0,7172.970291998354,claude-sonnet-4-6
T017,T017-A-99-1f4335,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,238,160,300,0.005214000000000001,0.00048,0.0,0.0,0.005694000000000001,False,False,0.2885830035666004,False,0.8,0,0,4485.632458003238,claude-sonnet-4-6
